Name,Notes,Source,Results,UsedInPapers
ImageNet,256,,"23,24,25,32,43,44,45,50,53,54,55,62,63,66,67,69,85,86,87,97,102,103,104,128,131,133,135,136,145,148,149,155,158,161,169,172,173,174,193,194,195,196,199,200,201,205,206,237,238,241,242,244,246,248,249,250,251,252,260,261,262,263,271,272,265,266,268,278,280,281,282,294,295,298,322,324,325,329,330,331,339,360,365,372,373,375,376,377,378,379,380,381,382,384,385,386,387,388,389,390,391,393,394,395,396,397,398,399,400,401,402,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,426,427,428,429,430,431,432,434,435,438,439,440,441,443,444,445,446,447,152,464,465,466,467,468,469,470,471,472,480,473,474,475,476,477,478,479,482,484,485,486,496,497,510,511,523,524,525,526,527,528,529,530,533,535,536,537,538,539,540,541,542,543,371,544,545,546,548,549,551,552,553,567,568,569,570,571,572,573,574,575,579,582,583,586,587,588,589,590,591,592,593,596,598,607,608,611,612,614","rethinking-net-pruning, rethinking-net-pruning, rethinking-net-pruning, rethinking-net-pruning, lottery-ticket-followup, samsung-winograd-sparse, samsung-winograd-sparse, google-state-of-sparsity, autopruner, autopruner, network-slimming, extreme-net-compress, extreme-net-compress, pcas, pcas, balanced-sparsity, sss, sss, sss, spectral-pruning, sze-energy-aware, sze-energy-aware, sze-energy-aware, channel-lasso-lstsq, channel-lasso-lstsq, channel-lasso-lstsq, thinet-channel-norms, thinet-channel-norms, pruning-filters, google-interchannel, google-interchannel, ssl, net-surgery, net-trimming-apoz, liu-sparse-conv, learning-both, learning-both, exploit-linear-structure, soft-filter-pruning, soft-filter-pruning, soft-filter-pruning, soft-filter-pruning, nisp, nisp, nisp, nisp, nisp, more-is-less, more-is-less, perforated-cnns, perforated-cnns, nvidia-taylor-pruning, samsung-vbmf-tucker, samsung-vbmf-tucker, samsung-vbmf-tucker, samsung-vbmf-tucker, learning-num-neurons, learning-num-neurons, han-prune-quant-huff, han-prune-quant-huff, runtime-neural-pruning, runtime-neural-pruning, runtime-neural-pruning, runtime-neural-pruning, rethinking-smaller-norm, lempitsky-cp-decomp, zhang-accel-very-deep, zhang-accel-very-deep, zhang-accel-very-deep, babu-data-free-pruning, babu-learning-architecture, babu-training-sparse, babu-training-sparse, amc-automl-han, amc-automl-han, amc-automl-han, memory-bounded-convnets, peng-collaborative, zhuang-discriminative-channel, zhuang-discriminative-channel, autopruner, extreme-net-compress, extreme-net-compress, extreme-net-compress, pcas, pcas, sss, sss, sss, spectral-pruning, spectral-pruning, spectral-pruning, spectral-pruning, spectral-pruning, spectral-pruning, spectral-pruning, spectral-pruning, channel-lasso-lstsq, channel-lasso-lstsq, channel-lasso-lstsq, channel-lasso-lstsq, thinet-channel-norms, net-trimming-apoz, net-trimming-apoz, net-trimming-apoz, net-trimming-apoz, learning-both, learning-both, learning-both, learning-both, learning-both, learning-both, learning-both, nisp, nisp, nisp, nisp, perforated-cnns, perforated-cnns, perforated-cnns, perforated-cnns, perforated-cnns, perforated-cnns, perforated-cnns, perforated-cnns, perforated-cnns, perforated-cnns, babu-data-free-pruning, babu-data-free-pruning, babu-learning-architecture, babu-learning-architecture, amc-automl-han, amc-automl-han, peng-collaborative, peng-collaborative, thinet-channel-norms, thinet-channel-norms, rethinking-net-pruning, rethinking-net-pruning, lottery-ticket-followup, lottery-ticket-followup, lottery-ticket-followup, lottery-ticket-followup, samsung-winograd-sparse, lempitsky-fast-convnets, lempitsky-fast-convnets, lempitsky-fast-convnets, lempitsky-fast-convnets, lempitsky-fast-convnets, lempitsky-fast-convnets, lempitsky-fast-convnets, lempitsky-fast-convnets, lempitsky-fast-convnets, lempitsky-fast-convnets, lempitsky-fast-convnets, lempitsky-fast-convnets, lempitsky-fast-convnets, lempitsky-fast-convnets, lempitsky-fast-convnets, lempitsky-fast-convnets, lempitsky-fast-convnets, lempitsky-fast-convnets, ssl, ssl, ssl, ssl, pruning-filters, pruning-filters, soft-filter-pruning, soft-filter-pruning, zhuang-discriminative-channel, zhuang-discriminative-channel, zhuang-discriminative-channel, zhuang-discriminative-channel, zhuang-discriminative-channel, rethinking-net-pruning, rethinking-net-pruning, thinet-channel-norms, rethinking-net-pruning, rethinking-net-pruning, rethinking-net-pruning, rethinking-net-pruning, rethinking-net-pruning, rethinking-net-pruning, extreme-net-compress, extreme-net-compress, extreme-net-compress, samsung-winograd-sparse, uiuc-coreset-pruning, uiuc-coreset-pruning, uiuc-coreset-pruning, uiuc-coreset-pruning, uiuc-coreset-pruning, uiuc-coreset-pruning, uiuc-coreset-pruning, uiuc-coreset-pruning, uiuc-coreset-pruning, uiuc-coreset-pruning, uiuc-coreset-pruning, uiuc-coreset-pruning, uiuc-coreset-pruning, uiuc-coreset-pruning, uiuc-coreset-pruning, uiuc-coreset-pruning, uiuc-coreset-pruning, uiuc-coreset-pruning, synaptic-strength, zhang-accel-very-deep, zhang-accel-very-deep, rethinking-net-pruning, rethinking-net-pruning, rethinking-net-pruning, rethinking-net-pruning, rethinking-net-pruning, rethinking-net-pruning, rethinking-net-pruning, rethinking-net-pruning, crossbar-aware, crossbar-aware, samsung-differentiable, samsung-differentiable, samsung-differentiable, compression-aware-training, compression-aware-training"
IMDB,,,109,openai-block-sparse
Indoor-67-balanced,,,"139,140","thinet-channel-norms, thinet-channel-norms"
LFW,,,"270,367,368,369,370","runtime-neural-pruning, zhuang-discriminative-channel, zhuang-discriminative-channel, zhuang-discriminative-channel, zhuang-discriminative-channel"
MNIST,28,,"1,2,42,46,47,49,60,72,95,111,112,113,114,115,116,117,118,119,122,123,146,150,153,154,163,164,160,162,170,171,178,179,182,189,190,191,197,217,218,254,247,264,269,284,285,296,297,312,318,321,323,332,333,334,335,337,356,357,550,556,600,601","SNIP, SNIP, lottery-ticket-followup, net-trim-v2, net-trim-v2, mit-coreset-pruning, network-slimming, lottery-ticket, spectral-pruning, net-trim, net-trim, net-trim, net-trim, net-trim, net-trim, net-trim, hard-concrete, hard-concrete, bayesian-compression, bayesian-compression, google-interchannel, lempitsky-fast-convnets, ssl, ssl, net-surgery, net-surgery, net-trimming-apoz, divnet, learning-both, learning-both, sparse-variational-dropout, sparse-variational-dropout, group-sparse-dnns, ssl, ssl, ssl, nisp, sparse-evolutionary, sparse-evolutionary, welling-slow-quantize+prune, welling-slow-quantize+prune, han-prune-quant-huff, han-prune-quant-huff, learning-compression, learning-compression, dai-info-bottleneck, dai-info-bottleneck, babu-data-free-pruning, babu-generalized-dropout, babu-learning-architecture, babu-training-sparse, pan-dropneuron, pan-dropneuron, structured-log-normal, structured-log-normal, memory-bounded-convnets, local-competition, local-competition, uiuc-coreset-pruning, ding-auto-balanced, L0-arm-binary, L0-arm-binary"
MNIST-ROT,,,167,divnet
MONK1,,,343,optimal-brain-surgeon
MONK2,,,344,optimal-brain-surgeon
MONK3,,,345,optimal-brain-surgeon
nvGesture,,,245,nvidia-taylor-pruning
Pascal VOC 2007,,,"129,290,283","channel-lasso-lstsq, huang-prune-filters, zhang-accel-very-deep"
PTB,Penn Tree Bank. used in balanced sparsity paper,"(Marcus et al. 1999),","70,101","balanced-sparsity, lstm-group-lasso"
Sequential MNIST,feed in row at a time instead of pixel,SNIP,"11,12,13,14","SNIP, SNIP, SNIP, SNIP"
SQuaD,,,"100,105","lstm-group-lasso, lstm-group-lasso"
SSD,Sensorless Drive Diagnosis,"UCI, apparently",180,group-sparse-dnns
Stanford Sentiment Treebank,,,108,openai-block-sparse
Stanford-Dogs,,,595,uiuc-coreset-pruning
SVHN,,,"58,59,84,159","network-slimming, network-slimming, network-slimming, course-pruning"
Switchboard English,,,311,he-reshaping
TIMIT,,,"71,310","balanced-sparsity, he-reshaping"
Tiny ImageNet,,,"15,16,17,18,19,355","SNIP, SNIP, SNIP, SNIP, SNIP, eigenDamage"
UCI-Adult,,,207,sparse-evolutionary
UCI-Boston,,,342,early-brain-damage
UCI-BreastCancer,,,340,early-brain-damage
UCI-Connect4,,,208,sparse-evolutionary
UCI-Diabetes,,,341,early-brain-damage
UCI-DNA,,,209,sparse-evolutionary
UCI-Mushrooms,,,210,sparse-evolutionary
UCI-NIPS-0-12,,,211,sparse-evolutionary
UCI-OCR-letters,,,212,sparse-evolutionary
UCI-RCV1,,,213,sparse-evolutionary
UCI-Web,,,214,sparse-evolutionary
Various Segmentation Datasets,,,276,rethinking-smaller-norm
WMT 2014 English-German,,,51,google-state-of-sparsity
Yelp,,,110,openai-block-sparse
