Name,Date,AuthorName,Venue,BibTeX,Notes,Compares To,Models,Datasets,Non-pruning,Results
samsung-winograd-sparse,2019-2,Choi,arXiv,"@article{choi2019jointly,
  title={Jointly Sparse Convolutional Neural Networks in Dual Spatial-Winograd Domains},
  author={Choi, Yoojin and El-Khamy, Mostafa and Lee, Jungwon},
  journal={arXiv preprint arXiv:1902.08192},
  year={2019}
}",,"learning-both,net-surgery","AlexNet, ResNet-18, AlexNet, ResNet-18","ImageNet, ImageNet, ImageNet, ImageNet",,"44,45,447,543"
google-state-of-sparsity,2019-2,Gale,arXiv,"@misc{gale2019state,
    title={The State of Sparsity in Deep Neural Networks},
    author={Trevor Gale and Erich Elsen and Sara Hooker},
    year={2019},
    eprint={1902.09574},
    archivePrefix={arXiv},
    primaryClass={cs.LG}
}",google scholar can't find this for unclear reasons...,"sparse-variational-dropout,hard-concrete,lottery-ticket,learning-both","ResNet-50, Transformer","ImageNet, WMT 2014 English-German",,"50,51"
autopruner,2019-1,Luo,arXiv,"@article{luo2018autopruner,
  title={Autopruner: An end-to-end trainable filter pruning method for efficient deep model inference},
  author={Luo, Jian-Hao and Wu, Jianxin},
  journal={arXiv preprint arXiv:1805.08941},
  year={2018}
}",,"thinet-channel-norms,sss,runtime-neural-pruning,nvidia-taylor-pruning,pruning-filters,channel-lasso-lstsq","VGG-16, VGG-16, ResNet-50, ResNet-50","CUB200-2011, ImageNet, ImageNet, ImageNet",,"52,53,54,373"
synaptic-strength,2018-12,Lin,NIPS,"@inproceedings{lin2018synaptic,
  title={Synaptic Strength For Convolutional Neural Network},
  author={Lin, Chen and Zhong, Zhao and Wei, Wu and Yan, Junjie},
  booktitle={Advances in Neural Information Processing Systems},
  pages={10149--10158},
  year={2018}
}",,"pruning-filters,network-slimming,sss,thinet-channel-norms,learning-both,ssl","VGG-netslim, ResNet-18, DenseNet-40, ResNet-50","CIFAR-10, CIFAR-10, CIFAR-10, ImageNet",,"576,577,578,579"
pcas,2018-12,Yamamoto,arXiv,"@article{yamamoto2018pcas,
  title={Pcas: Pruning channels with attention statistics},
  author={Yamamoto, Kohei and Maeno, Kurato},
  journal={arXiv preprint arXiv:1806.05382},
  year={2018}
}",,"nisp,sss,thinet-channel-norms,soft-filter-pruning,pruning-filters,amc-automl-han,channel-lasso-lstsq,huang-prune-filters","ResNet-56, ResNet-50, VGG-16, ResNet-50, SegNet, VGG-16, VGG-16","CIFAR-10, CIFAR-100, ImageNet, ImageNet, CamVid, ImageNet, ImageNet",,"64,65,66,67,68,378,379"
balanced-sparsity,2018-12,Yao,arXiv,"@article{yao2018balanced,
  title={Balanced Sparsity for Efficient DNN Inference on GPU},
  author={Yao, Zhuliang and Cao, Shijie and Xiao, Wencong},
  journal={arXiv preprint arXiv:1811.00206},
  year={2018}
}","venue: says ""copyright AAAI"" at bottom, but not in AAAI 2019 proceedings (https://aaai.org/Library/AAAI/aaai18contents.php)
",,"VGG-16, LSTM-1500-1500, Bi-LSTM-1024","ImageNet, PTB, TIMIT",,"69,70,71"
zhuang-discriminative-channel,2018-12,Zhuang,NIPS,"@inproceedings{zhuang2018discrimination,
  title={Discrimination-aware channel pruning for deep neural networks},
  author={Zhuang, Zhuangwei and Tan, Mingkui and Zhuang, Bohan and Liu, Jing and Guo, Yong and Wu, Qingyao and Huang, Junzhou and Zhu, Jinhui},
  booktitle={Advances in Neural Information Processing Systems},
  pages={875--886},
  year={2018}
}",,"channel-lasso-lstsq,thinet-channel-norms,network-slimming","???, ResNet-56, MobileNet, MobileNet-v2, ResNet-50, FaceNet, DeepFace, ???, SphereNet-4, ResNet-18, ResNet-56, ResNet-18, ResNet-18, ResNet-50, ResNet-50, ResNet-50","CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10, ImageNet, LFW, LFW, LFW, LFW, ImageNet, CIFAR-10, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet",,"361,362,363,364,365,367,368,369,370,372,522,523,524,525,526,527"
lottery-ticket,2018-11,Frankle,ICLR,"@article{frankle2018lottery,
  title={The lottery ticket hypothesis: Finding sparse, trainable neural networks},
  author={Frankle, Jonathan and Carbin, Michael},
  journal={arXiv preprint arXiv:1803.03635},
  year={2018}
}",,,"LeNet-300-100, Toy Convnets, VGG-16-AvgPool","MNIST, CIFAR-10, CIFAR-10",,"72,73,74"
crossbar-aware,2018-10,Liang,IEEE Access,"@article{liang2018crossbar,
  title={Crossbar-aware neural network pruning},
  author={Liang, Ling and Deng, Lei and Zeng, Yueling and Hu, Xing and Ji, Yu and Ma, Xin and Li, Guoqi and Xie, Yuan},
  journal={IEEE Access},
  volume={6},
  pages={58324--58337},
  year={2018},
  publisher={IEEE}
}",,,"VGG-16, ResNet-18, VGG8","ImageNet, ImageNet, CIFAR-10",,"596,598,599"
uiuc-coreset-pruning,2018-9,Dubey,ECCV,"'@inproceedings{dubey2018coreset,
  title={Coreset-based neural network compression},
  author={Dubey, Abhimanyu and Chatterjee, Moitreya and Ahuja, Narendra},
  booktitle={Proceedings of the European Conference on Computer Vision (ECCV)},
  pages={454--470},
  year={2018}
}",,"memory-bounded-convnets,exploit-linear-structure,learning-both,net-surgery,compression-aware-training","AlexNet, VGG-16, AlexNet, AlexNet, VGG-16, VGG-16, LeNet-5, SqueezeNet, SqueezeNet, SqueezeNet, ResNet-18, ResNet-50, ResNet-101, ResNet-18, ResNet-18, ResNet-50, ResNet-50, ResNet-101, ResNet-101, VGG-16, VGG-16","ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, MNIST, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, CUB200-2011, Stanford-Dogs",,"371,544,545,546,548,549,550,551,552,553,567,568,569,570,571,572,573,574,575,594,595"
sss,2018-9,Huang,ECCV,"'@inproceedings{huang2018data,
  title={Data-driven sparse structure selection for deep neural networks},
  author={Huang, Zehao and Wang, Naiyan},
  booktitle={Proceedings of the European Conference on Computer Vision (ECCV)},
  pages={304--320},
  year={2018}
}",,"thinet-channel-norms,ssl,pruning-filters,channel-lasso-lstsq,nvidia-taylor-pruning,rethinking-smaller-norm","VGG-16+BN-OneFC, ResNet-20, PreResNet-164, ResNext-20, ResNext-164, ResNet-50, ResNext-50, PeleeNet, VGG-16, ResNet-50, ResNet-50","CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet",,"75,76,77,78,79,85,86,87,380,381,382"
sparse-evolutionary,2018-9,Mocanu,Nature Communications,"@article{mocanu2018scalable,
  title={Scalable training of artificial neural networks with adaptive sparse connectivity inspired by network science},
  author={Mocanu, Decebal Constantin and Mocanu, Elena and Stone, Peter and Nguyen, Phuong H and Gibescu, Madeleine and Liotta, Antonio},
  journal={Nature communications},
  volume={9},
  number={1},
  pages={2383},
  year={2018},
  publisher={Nature Publishing Group}
}",,,"Family of RBMs, Family of RBMs, Family of RBMs, Family of RBMs, Family of RBMs, Family of RBMs, Family of RBMs, Family of RBMs, Family of RBMs, Family of RBMs, Family of RBMs, fc1000-1000-1000, fc4000-1000-4000, fc1000-1000-1000, Family of CNNs","UCI-Adult, UCI-Connect4, UCI-DNA, UCI-Mushrooms, UCI-NIPS-0-12, UCI-OCR-letters, UCI-RCV1, UCI-Web, Caltech101-Silhouettes-16x16, Caltech-101-Silhouettes-28x28, MNIST, MNIST, CIFAR-10, HIGGS, CIFAR-10",,"207,208,209,210,211,212,213,214,215,216,217,218,219,220,221"
extreme-net-compress,2018-9,Peng,ECCV,"'@inproceedings{peng2018extreme,
  title={Extreme network compression via filter group approximation},
  author={Peng, Bo and Tan, Wenming and Li, Zheyang and Zhang, Shun and Xie, Di and Pu, Shiliang},
  booktitle={Proceedings of the European Conference on Computer Vision (ECCV)},
  pages={300--316},
  year={2018}
}",,"network-slimming,pruning-filters,zhang-accel-very-deep,jaderberg-low-rank-conv,channel-lasso-lstsq,samsung-vbmf-tucker","VGG-Torch-CIFAR10-noDrop, VGG-16, ResNet-34, VGG-16, VGG-16, VGG-16, ResNet-34, ResNet-34, ResNet-34","CIFAR-100, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet",,"61,62,63,375,376,377,540,541,542"
apple-pfa,2018-9,Suau,OpenReview,"@article{suau2018network,
  title={NETWORK COMPRESSION USING CORRELATION ANALYSIS OF LAYER RESPONSES},
  author={Suau, Xavier and Zappella, Luca and Apostoloff, Nicholas},
  year={2018}
}","regarding venue, only rejected from ICLR; not uploaded to arxiv","pruning-filters,network-slimming,extreme-net-compress,dai-info-bottleneck","VGG-Torch-CIFAR10, ResNet-56, SimpleCNN, VGG-Torch-CIFAR10, ResNet-56, SimpleCNN, VGG-Torch-CIFAR10, ResNet-56, VGG-Torch-CIFAR10, ResNet-56","CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-100, CIFAR-100, CIFAR-100, CIFAR-10, CIFAR-10, CIFAR-100, CIFAR-100",,"89,90,91,92,93,94,487,488,489,490"
soft-filter-pruning,2018-8,"He, Yang",IJCAI,"@inproceedings{he2018soft,
  title={Soft filter pruning for accelerating deep convolutional neural networks},
  author={He, Y and Kang, G and Dong, X and Fu, Y and Yang, Y},
  booktitle={IJCAI International Joint Conference on Artificial Intelligence},
  year={2018}
}",,"more-is-less,pruning-filters,channel-lasso-lstsq","ResNet-20, ResNet-32, ResNet-56, ResNet-110, ResNet-18, ResNet-34, ResNet-50, ResNet-101, ResNet-20, ResNet-20, ResNet-32, ResNet-32, ResNet-56, ResNet-56, ResNet-56, ResNet-56, ResNet-56, ResNet-110, ResNet-110, ResNet-110, ResNet-50, ResNet-101","CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10, ImageNet, ImageNet, ImageNet, ImageNet, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10, ImageNet, ImageNet",,"184,185,181,192,193,194,195,196,498,499,500,501,502,503,504,505,506,507,508,509,510,511"
amc-automl-han,2018-8,"He, Yihui",ECCV,"'@inproceedings{he2018amc,
  title={Amc: Automl for model compression and acceleration on mobile devices},
  author={He, Yihui and Lin, Ji and Liu, Zhijian and Wang, Hanrui and Li, Li-Jia and Han, Song},
  booktitle={Proceedings of the European Conference on Computer Vision (ECCV)},
  pages={784--800},
  year={2018}
}",,"pruning-filters,runtime-neural-pruning,channel-lasso-lstsq","Plain-20, ResNet-56, ResNet-50, VGG-16, MobileNet, MobileNet-v2, MobileNet, MobileNet","CIFAR-10, CIFAR-10, CIFAR-10, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet",,"326,327,328,329,330,331,431,432"
spectral-pruning,2018-8,Suzuki,arXiv,"@article{suzuki2018spectral,
  title={Spectral-Pruning: Compressing deep neural network via spectral analysis},
  author={Suzuki, Taiji and Abe, Hiroshi and Murata, Tomoya and Horiuchi, Shingo and Ito, Kotaro and Wachi, Tokuma and Hirai, So and Yukishima, Masatoshi and Nishimura, Tomoaki},
  journal={arXiv preprint arXiv:1808.08558},
  year={2018}
}",,"net-trim,net-trimming-apoz,thinet-channel-norms,learning-both","fc300-1000-300, fc300-1000-300, VGG-16, VGG-16, VGG-16, VGG-16, VGG-16, VGG-16, VGG-16, VGG-16, VGG-16","MNIST, CIFAR-10, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet",,"95,96,97,384,385,386,387,388,389,390,391"
learning-compression,2018-6,Carreira-Perpinan,CVPR,"@inproceedings{carreira2018learning,
  title={“Learning-Compression” Algorithms for Neural Net Pruning},
  author={Carreira-Perpin{\'a}n, Miguel A and Idelbayev, Yerlan},
  booktitle={Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition},
  pages={8532--8541},
  year={2018}
}",,learning-both,"LeNet-300-100, LeNet-5, ResNet-32, ResNet-110, ResNet-56, ResNet-32, ResNet-32, ResNet-32, ResNet-56, ResNet-56, ResNet-56, ResNet-110, ResNet-110, ResNet-110","MNIST, MNIST, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10",,"284,285,286,287,512,513,514,515,516,517,518,519,520,521"
smallify,2018-6,Leclerc,arXiv,"@article{leclerc2018smallify,
  title={Smallify: Learning Network Size while Training},
  author={Leclerc, Guillaume and Vartak, Manasi and Fernandez, Raul Castro and Kraska, Tim and Madden, Samuel},
  journal={arXiv preprint arXiv:1806.03723},
  year={2018}
}",,,"VGG-16+Dropout, fc50-50-20","CIFAR-10, Covertype",,"98,99"
nisp,2018-6,Yu,CVPR,"@inproceedings{yu2018nisp,
  title={Nisp: Pruning networks using neuron importance score propagation},
  author={Yu, Ruichi and Li, Ang and Chen, Chun-Fu and Lai, Jui-Hsin and Morariu, Vlad I and Han, Xintong and Gao, Mingfei and Lin, Ching-Yung and Davis, Larry S},
  booktitle={Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition},
  pages={9194--9203},
  year={2018}
}",,"perforated-cnns,pruning-filters,thinet-channel-norms,samsung-vbmf-tucker","LeNet-5, Cifar-net, AlexNet, GoogLeNet, AlexNet, ResNet-56, ResNet-110, ResNet-34, ResNet-50, AlexNet, AlexNet, ResNet-34, ResNet-50","MNIST, CIFAR-10, ImageNet, ImageNet, ImageNet, CIFAR-10, CIFAR-10, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet, ImageNet",,"197,198,199,200,201,203,204,205,206,410,411,412,413"
dai-info-bottleneck,2018-4,Dai,arXiv,"@article{dai2018compressing,
  title={Compressing neural networks using the variational information bottleneck},
  author={Dai, Bin and Zhu, Chen and Wipf, David},
  journal={arXiv preprint arXiv:1802.10399},
  year={2018}
}",,"babu-generalized-dropout,ssl,sparse-variational-dropout,bayesian-compression,hard-concrete,runtime-neural-pruning,pruning-filters,network-slimming,structured-log-normal,pan-dropneuron","LeNet-300-100, LeNet-5-Caffe, VGG-16-fc512-512, VGG-Torch-CIFAR10, VGG-netslim, VGG-16-fc512","MNIST, MNIST, CIFAR-10, CIFAR-100, CIFAR-10, CIFAR-10",,"296,297,308,309,315,316"
huang-prune-filters,2018-3,Huang,WACV,"'@inproceedings{huang2018learning,
  title={Learning to prune filters in convolutional neural networks},
  author={Huang, Qiangui and Zhou, Kevin and You, Suya and Neumann, Ulrich},
  booktitle={2018 IEEE Winter Conference on Applications of Computer Vision (WACV)},
  pages={709--718},
  year={2018},
  organization={IEEE}
}",,pruning-filters,"VGG-16, ResNet-18, FCN-32s, SegNet, VGG-16, VGG-16, VGG-16, VGG-16, ResNet-18, ResNet-18, ResNet-18","CIFAR-10, CIFAR-10, Pascal VOC 2007, CamVid, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10",,"288,289,290,291,300,301,302,303,304,305,306"
ding-auto-balanced,2018-2,Ding,AAAI,"@inproceedings{ding2018auto,
  title={Auto-balanced filter pruning for efficient convolutional neural networks},
  author={Ding, Xiaohan and Ding, Guiguang and Han, Jungong and Tang, Sheng},
  booktitle={Thirty-Second AAAI Conference on Artificial Intelligence},
  year={2018}
}",,pruning-filters,"LeNet-5-Caffe, VGG-Torch-CIFAR10, VGG-Torch-CIFAR10, ResNet-56, ResNet-56, ResNet-56","MNIST, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10, CIFAR-10",,"556,561,563,558,564,565"
rethinking-smaller-norm,2018-2,Ye,ICLR,"@article{ye2018rethinking,
  title={Rethinking the smaller-norm-less-informative assumption in channel pruning of convolution layers},
  author={Ye, Jianbo and Lu, Xin and Lin, Zhe and Wang, James Z},
  journal={arXiv preprint arXiv:1802.00124},
  year={2018}
}",,"sss,pruning-filters","conv96-192-192-384, ResNet-101, ???","CIFAR-10, ImageNet, Various Segmentation Datasets",,"267,268,276"
lstm-group-lasso,2018-1,Wen,arXiv,"@article{wen2017learning,
  title={Learning intrinsic sparse structures within long short-term memory},
  author={Wen, Wei and He, Yuxiong and Rajbhandari, Samyam and Zhang, Minjia and Wang, Wenhan and Liu, Fang and Hu, Bin and Chen, Yiran and Li, Hai},
  journal={arXiv preprint arXiv:1709.05027},
  year={2017}
}",,,"BiDaF, Custom stacked LSTMs, Variational RHN + WT","SQuaD, PTB, SQuaD",,"100,101,105"
net-trim,2017-12,Aghasi,NIPS,"@inproceedings{aghasi2017net,
  title={Net-trim: Convex pruning of deep neural networks with performance guarantee},
  author={Aghasi, Alireza and Abdi, Afshin and Nguyen, Nam and Romberg, Justin},
  booktitle={Advances in Neural Information Processing Systems},
  pages={3177--3186},
  year={2017}
}",,learning-both,"fc300-300, fc300-500-300, fc300-1000-300, fc300-300, fc300-500-300, fc300-1000-300, ???","MNIST, MNIST, MNIST, MNIST, MNIST, MNIST, MNIST",,"111,112,113,114,115,116,117"
compression-aware-training,2017-12,Alvarez,NIPS,"@inproceedings{alvarez2017compression,
  title={Compression-aware training of deep networks},
  author={Alvarez, Jose M and Salzmann, Mathieu},
  booktitle={Advances in Neural Information Processing Systems},
  pages={856--867},
  year={2017}
}",,"exploit-linear-structure,learning-num-neurons","Dec-3-512, Dec-8-256, ResNet-50, ResNet-50, Dec-8-512","ICDAR, ICDAR, ICDAR, ImageNet, ImageNet",,"547,554,555,612,614"
openai-block-sparse,2017-12,Gray,arXiv,"@article{gray2017gpu,
  title={Gpu kernels for block-sparse weights},
  author={Gray, Scott and Radford, Alec and Kingma, Diederik P},
  journal={arXiv preprint arXiv:1711.09224},
  year={2017}
}",,,"PixelCNN++, Small-World LSTM, Small-World LSTM, Small-World LSTM, Small-World LSTM","???, Amazon Reviews, Stanford Sentiment Treebank, IMDB, Yelp",,"106,107,108,109,110"
runtime-neural-pruning,2017-12,Lin,NIPS,"@inproceedings{lin2017runtime,
  title={Runtime neural pruning},
  author={Lin, Ji and Rao, Yongming and Lu, Jiwen and Zhou, Jie},
  booktitle={Advances in Neural Information Processing Systems},
  pages={2181--2191},
  year={2017}
}",,"jaderberg-low-rank-conv,pruning-filters,zhang-accel-very-deep","conv32-32-64+fc-?-?, VGG-16, VGG-16, VGG-16, VGG-16","LFW, ImageNet, ImageNet, ImageNet, ImageNet",,"270,271,272,265,266"
hard-concrete,2017-12,Louizos,NIPS,"@article{louizos2017learning,
  title={Learning Sparse Neural Networks through $ L\_0 $ Regularization},
  author={Louizos, Christos and Welling, Max and Kingma, Diederik P},
  journal={arXiv preprint arXiv:1712.01312},
  year={2017}
}",,"bayesian-compression,sparse-variational-dropout,ssl,structured-log-normal","LeNet-300-100, LeNet-5-Caffe+800, WRN-28-10, WRN-28-10","MNIST, MNIST, CIFAR-10, CIFAR-100",,"118,119,120,121"
bayesian-compression,2017-12,Louizos,NIPS,"@inproceedings{louizos2017bayesian,
  title={Bayesian compression for deep learning},
  author={Louizos, Christos and Ullrich, Karen and Welling, Max},
  booktitle={Advances in Neural Information Processing Systems},
  pages={3288--3298},
  year={2017}
}",,"sparse-variational-dropout,babu-generalized-dropout,ssl","LeNet-300-100, LeNet-5-Caffe, VGG-Torch-CIFAR10","MNIST, MNIST, CIFAR-10",,"122,123,124"
structured-log-normal,2017-12,Neklyudov,NIPS,"@inproceedings{neklyudov2017structured,
  title={Structured bayesian pruning via log-normal multiplicative noise},
  author={Neklyudov, Kirill and Molchanov, Dmitry and Ashukha, Arsenii and Vetrov, Dmitry P},
  booktitle={Advances in Neural Information Processing Systems},
  pages={6775--6784},
  year={2017}
}",,sparse-variational-dropout,"Lenet-500-300, LeNet-5-Caffe, VGG-Torch-CIFAR10","MNIST, MNIST, CIFAR-10",,"334,335,336"
block-sparse-rnns,2017-11,Narang,arXiv,"@article{narang2017block,
  title={Block-sparse recurrent neural networks},
  author={Narang, Sharan and Undersander, Eric and Diamos, Gregory},
  journal={arXiv preprint arXiv:1711.02782},
  year={2017}
}",,,"RNN Dense 1760, GRU Dense 2560","(Proprietary), (Proprietary)",,"125,126"
