Name,Paper,Dataset,Model,Method,Notes,NumTrials,Err1,Err5,Top1,stdTop1,dTop1,Top5,dTop5,MParams,savedParams,keptParams,GFLOPS,savedFLOPS,keptFLOPS,OrigTop1,stdOrigTop1,OrigTop5,OrigMParams,OrigGFLOPS,old/new Nparam,old/new FLOPS,OrigErr1,OrigErr5
489,apple-pfa,CIFAR-100,VGG-Torch-CIFAR10,PFA-KL,,10,,,,,1.400%,,,,,41.90%,,,53.90%,,,,,,,,,
52,autopruner,CUB200-2011,VGG-16,,"VGG16 was only ""fine-tuned"" on this dataset, so presumably pretained on imagenet",3,,,,,,,,,,,,,,,,,,,,,,
54,autopruner,ImageNet,ResNet-50,,,,,,73.04%,,,91.25%,,,,,2.6400,,,76.15%,,92.87%,,7.729,,,,
373,autopruner,ImageNet,ResNet-50,,,,,,74.76%,,,92.15%,,,,,3.7600,,,76.15%,,92.87%,,7.729,,,,
53,autopruner,ImageNet,VGG-16,,,,,,69.20%,,,88.89%,,,,,8.1700,,,71.59%,,90.38%,,30.949,,,,
298,babu-data-free-pruning,ImageNet,CaffeNet,,"""we use an AlexNet-like architecture, called CaffeNet""; using rows table2 that contain blue, which are seemingly the ones that use their method",,,,48.16%,,,,,,61.17%,,,,,57.84%,,,60.900,,,,,
427,babu-data-free-pruning,ImageNet,CaffeNet,,"""we use an AlexNet-like architecture, called CaffeNet""; using rows table2 that contain blue, which are seemingly the ones that use their method",,,,44.56%,,,,,,47.88%,,,,,57.84%,,,60.900,,,,,
428,babu-data-free-pruning,ImageNet,CaffeNet,,"""we use an AlexNet-like architecture, called CaffeNet""; using rows table2 that contain blue, which are seemingly the ones that use their method",,,,49.76%,,,,,,23.50%,,,,,57.84%,,,60.900,,,,,
312,babu-data-free-pruning,MNIST,LeNet-5-Caffe,,"""The network consisted of a two 5x5 convolutional layers with 20 and 50 filters, and two fully connected layers with 500 and 10 (output layer) neurons.""",,,,,,,,,,,,,,,,,,,,,,,
320,babu-generalized-dropout,CIFAR-10,GenericNet,,no size / speed changes mentioned; only acc,,,,,,,,,,,,,,,,,,,,,,,
317,babu-generalized-dropout,CIFAR-10,ResNet-32,,no size / speed changes mentioned; only acc,,,,,,,,,,,,,,,,,,,,,,,
319,babu-generalized-dropout,CIFAR-10,ResNet-56,,no size / speed changes mentioned; only acc,,,,,,,,,,,,,,,,,,,,,,,
318,babu-generalized-dropout,MNIST,LeNet-5-Caffe,,"they don't use its name; they just say ""we use the standard LeNet-like architecture [16], which consists of two 5 x 5 convolutional layers with 20 and 50 filters, and two fully connected layers with 500 and 10 (output layer) neurons.""",,,,,,,,,,,,,,,,,,,,,,,
322,babu-learning-architecture,ImageNet,CaffeNet,,explicitly say caffenet,,,,55.90%,,,,,19.6000,67.80%,,,,,57.41%,,,60.900,,,,,
429,babu-learning-architecture,ImageNet,CaffeNet,,explicitly say caffenet,,,,54.30%,,,,,19.8000,67.40%,,,,,57.41%,,,60.900,,,,,
430,babu-learning-architecture,ImageNet,CaffeNet,,explicitly say caffenet,,,,55.87%,,,,,47.8000,22.00%,,,,,57.41%,,,60.900,,,,,
321,babu-learning-architecture,MNIST,LeNet-5-Caffe,,"again, don't say its name explicitly; just ""The network consists of two 5 × 5 convolutional layers with 20 and 50 filters, and two fully connected layers with 500 and 10 (output layer) neurons.""",,,,,,,,,,,,,,,,,,,,,,,
324,babu-training-sparse,ImageNet,AlexNet,,,,,,56.96%,,,,,5.9000,,,,,,57.20%,,,60.900,,10.30,,,
325,babu-training-sparse,ImageNet,VGG-16,,,,,,69.04%,,,,,9.8500,,,,,,68.97%,,,138.000,,14.00,,,
323,babu-training-sparse,MNIST,LeNet-5,,,,,,,,,,,,,,,,,,,,,,,,,
69,balanced-sparsity,ImageNet,VGG-16,,"confusing: ""The time cost of other layers in VGG-16, such as pooling and batch normalization, is about 230us"". But there's no batchnorm in vgg-16.... Unrelated: acc number is from ""All these three methods as well as the dense model baseline achieve similar top-5 accuracy of 90.3%, however, under different sparsity ratios."" stated in text, not table",,,,,,,90.30%,,,92.00%,,,,,,,,,,,,,
70,balanced-sparsity,PTB,LSTM-1500-1500,,,,,,,,,,,,,,,,,,,,,,,,,
71,balanced-sparsity,TIMIT,Bi-LSTM-1024,,call this a CTC model (graves et al 2006),,,,,,,,,,,,,,,,,,,,,,,
124,bayesian-compression,CIFAR-10,VGG-Torch-CIFAR10,,,,,,,,,,,,,,,,,,,,,,,,,
123,bayesian-compression,MNIST,LeNet-5-Caffe,,explicitly say they use lenet-5-caffe,,,,,,,,,,,,,,,,,,,,,,,
122,bayesian-compression,MNIST,LeNet-300-100,,,,,,,,,,,,,,,,,,,,,,,,,
126,block-sparse-rnns,(Proprietary),GRU Dense 2560,,,,,,,,,,,,,,,,,,,,,,,,,
125,block-sparse-rnns,(Proprietary),RNN Dense 1760,,,,,,,,,,,,,,,,,,,,,,,,,
130,channel-lasso-lstsq,CIFAR-10,ResNet-50,,,,,,,,,,,,,,,,,,,,,,,,,
132,channel-lasso-lstsq,CIFAR-10,Resnet-50-DWSep,,,,,,,,,,,,,,,,,,,,,,,,,
127,channel-lasso-lstsq,CIFAR-10,ResNet-56,,"""Shown in Table 8, our approach is competitive with scratch trained one, without fine-tuning, under 2× speed-up.""",,,,,,-1.000%,,,,,,,,,92.80%,,,,,,2.000,,
131,channel-lasso-lstsq,ImageNet,ResNet-50,,,,,,,,,,-1.400%,,,,,50.00%,,,,92.20%,,,,,,
133,channel-lasso-lstsq,ImageNet,Resnet-50-DWSep,,,,,,,,,,,,,,,,,,,,,,,,,
128,channel-lasso-lstsq,ImageNet,VGG-16,,table 1,,,,,,,,0.000%,,,,,50.00%,,,,89.90%,,,,,,
393,channel-lasso-lstsq,ImageNet,VGG-16,,table 1,,,,,,,,-1.000%,,,,,75.00%,,,,89.90%,,,,,,
394,channel-lasso-lstsq,ImageNet,VGG-16,,table 1,,,,,,,,-1.700%,,,,,80.00%,,,,89.90%,,,,,,
395,channel-lasso-lstsq,ImageNet,VGG-16,3C,"table 2 (""Our 3C (fine-tuned)"")",,,,,,,,0.000%,,,,,75.00%,,,,89.90%,,,,,,
396,channel-lasso-lstsq,ImageNet,VGG-16,3C,"table 2 (""Our 3C (fine-tuned)"")",,,,,,,,0.300%,,,,,80.00%,,,,89.90%,,,,,,
129,channel-lasso-lstsq,Pascal VOC 2007,VGG-16,,using Faster R-CNN,,,,,,,,,,,,,,,,,89.90%,,,,,,
547,compression-aware-training,ICDAR,Dec-3-512,,,,,,,,,,,,,,,,,,,,,,,,,
554,compression-aware-training,ICDAR,Dec-8-256,,,,,,,,,,,,,,,,,,,,,,,,,
555,compression-aware-training,ICDAR,ResNet-50,,"haven't defined ""compression rate""; really unsure what they mean by this based on text in Sec5",,,,75.20%,,,,,,27.00%,,,,,74.70%,,,18.000,,,,,
614,compression-aware-training,ImageNet,Dec-8-512,,,,,,,,,,,,,,,,,,,,,,,,,
612,compression-aware-training,ImageNet,ResNet-50,,"haven't defined ""compression rate""; really unsure what they mean by this based on text in Sec5",,,,75.00%,,,,,,20.60%,,,,,74.70%,,,18.000,,,,,
166,course-pruning,CIFAR-10,CNN_large,,,,,,,,,,,,,,,,,,,,,,,,,
165,course-pruning,CIFAR-10,CNN_small,,,,,,,,,,,,,,,,,,,,,,,,,
159,course-pruning,SVHN,CNN_medium,,,,,,,,,,,,,,,,,,,,,,,,,
599,crossbar-aware,CIFAR-10,VGG8,,"you can't figure out acc drop from what they report, but it's no more than 4% (they give this percentage as stopping condition)",,,,,,,,,,,,,,,,,,,,,,,
598,crossbar-aware,ImageNet,ResNet-18,,"you can't figure out acc drop from what they report, but it's no more than 3.5% (they give this percentage as stopping condition)",,,,,,,,,,,,,,,,,,,,,,,
596,crossbar-aware,ImageNet,VGG-16,,"you can't figure out acc drop from what they report, but it's no more than 4% (they give this percentage as stopping condition)",,,,,,,,,,,,,,,,,,,,,,,
316,dai-info-bottleneck,CIFAR-10,VGG-16-fc512,,same issue as other cifar-10 model,,,,,,,,,,,,,,,,,,,,,,,
308,dai-info-bottleneck,CIFAR-10,VGG-16-fc512-512,,"contradictions in literature? They say they do the same thing as bayesian-compression, but also say ""For the BC models, the dimension of the fully connected layers is simply changed from 4096 to 512, while leaving convolutional layers unaltered""; but bayesian-compression paper definitely says they use the torch-cifar10 vgg, which also has BatchNorm and dropout",,,,,,,,,,,,,,,,,,,,,,,
315,dai-info-bottleneck,CIFAR-10,VGG-netslim,,,,,,,,,,,,,,,,,,,,,,,,,
309,dai-info-bottleneck,CIFAR-100,VGG-Torch-CIFAR10,,"two variations, apparently matching the settings of network-slimming (called NS) and runtime pruning (called RNP)",,,,,,,,,,,,,,,,,,,,,,,
297,dai-info-bottleneck,MNIST,LeNet-5-Caffe,,,,,,,,,,,,,,,,,,,,,,,,,
296,dai-info-bottleneck,MNIST,LeNet-300-100,,,,,,,,,,,,,,,,,,,,,,,,,
558,ding-auto-balanced,CIFAR-10,ResNet-56,,"table 3, AFP-G",,7.06%,,,,,,,,,,0.0555,,,,,,,0.142,,,6.10%,
564,ding-auto-balanced,CIFAR-10,ResNet-56,,"table 3, AFP-H",,7.41%,,,,,,,,,,0.0572,,,,,,,0.142,,,6.10%,
565,ding-auto-balanced,CIFAR-10,ResNet-56,,"table 3, AFP-I",,9.43%,,,,,,,,,,0.0414,,,,,,,0.142,,,6.10%,
561,ding-auto-balanced,CIFAR-10,VGG-Torch-CIFAR10,,"apparent contradiction in literature? Li et al use VGG-Torch-CIFAR10 (which also has dropout), while this paper says: ""The experiments in this section are based on a VGG-16 version same as (Li et al. 2016). Concretely, the overall convolutional architecture remains the same as (Simonyan and Zisserman 2014), while every convolutional layer is followed by a batch normalization (Ioffe and Szegedy 2015) layer."" Although there are already contradictory accounts (including arguably from Li et al) of what Li et al did.
-table 2, AFP-E",,7.06%,,,,,,,,,,0.0637,,,,,,,0.313,,,7.08%,
563,ding-auto-balanced,CIFAR-10,VGG-Torch-CIFAR10,,"apparent contradiction in literature? Li et al use VGG-Torch-CIFAR10 (which also has dropout), while this paper says: ""The experiments in this section are based on a VGG-16 version same as (Li et al. 2016). Concretely, the overall convolutional architecture remains the same as (Simonyan and Zisserman 2014), while every convolutional layer is fol- lowed by a batch normalization (Ioffe and Szegedy 2015) layer."" Although there are already contradictory accounts (including arguably from Li et al) of what Li et al did.
-table 2, AFP-F",,7.13%,,,,,,,,,,0.0583,,,,,,,0.313,,,7.08%,
556,ding-auto-balanced,MNIST,LeNet-5-Caffe,,"""We perform experiments on a version of LeNet-5 defined in (Yangqing 2014), which consists of two convolutional and two fully-connected layers. Since the two convolutional layers comprise 20 and 50 filters, respectively,""",,,,,,,,,,,,,,,,,,,,,,,
168,divnet,CIFAR-10,fc3072-1000-1000-1000-sigmoid,,,,,,,,,,,,,,,,,,,,,,,,,
162,divnet,MNIST,fc500-500-sigmoid,,,,,,,,,,,,,,,,,,,,,,,,,
167,divnet,MNIST-ROT,fc500-500-sigmoid,,,,,,,,,,,,,,,,,,,,,,,,,
342,early-brain-damage,UCI-Boston,fc3,,"multiple trials, but no stds / err bars",5,,,,,,,,,,,,,,,,,,,,,,
340,early-brain-damage,UCI-BreastCancer,fc10,,,5,,,,,,,,,,,,,,,,,,,,,,
341,early-brain-damage,UCI-Diabetes,fc5,,,5,,,,,,,,,,,,,,,,,,,,,,
350,eigenDamage,CIFAR-10,PreResNet-29+L1,,"for all these in table 1, ""We run each experiment five times, and present the mean and standard variance."" Not sure what ""standard variance"" is, but props for including it for not only test acc, but also ""Reduction in Weights (%)"" and ""Reduction in FLOPs (%)""",5,,,,,,,,,,,,,,,,,,,,,,
349,eigenDamage,CIFAR-10,ResNet-32,,,5,,,,,,,,,,,,,,,,,,,,,,
347,eigenDamage,CIFAR-10,VGG-19,,"IIRC, they just call it ""VGGNet"" in the text, but clarify in the tables",5,,,,,,,,,,,,,,,,,,,,,,
348,eigenDamage,CIFAR-10,VGG-19+L1,,,5,,,,,,,,,,,,,,,,,,,,,,
354,eigenDamage,CIFAR-100,PreResNet-29+L1,,,5,,,,,,,,,,,,,,,,,,,,,,
353,eigenDamage,CIFAR-100,ResNet-32,,,5,,,,,,,,,,,,,,,,,,,,,,
351,eigenDamage,CIFAR-100,VGG-19,,,5,,,,,,,,,,,,,,,,,,,,,,
352,eigenDamage,CIFAR-100,VGG-19+L1,,,5,,,,,,,,,,,,,,,,,,,,,,
355,eigenDamage,Tiny ImageNet,VGG-19,,,5,,,,,,,,,,,,,,,,,,,,,,
174,exploit-linear-structure,ImageNet,AlexNet,,only reports numbers for each layer (with associated change in error),,,,,,,,,,,,,,,,,,,,,,,
61,extreme-net-compress,CIFAR-100,VGG-Torch-CIFAR10-noDrop,,table 3,,,,,,,,,,,,,,,,,,,,,,,
63,extreme-net-compress,ImageNet,ResNet-34,,table 3,,,,,,-0.350%,,-0.040%,,,,,45.63%,,,,,,,,,,
540,extreme-net-compress,ImageNet,ResNet-34,,table 3,,,,,,-1.020%,,-0.300%,,,,,64.75%,,,,,,,,,,
541,extreme-net-compress,ImageNet,ResNet-34,,table 3,,,,,,-1.700%,,-0.440%,,,,,80.33%,,,,,,,,,,
542,extreme-net-compress,ImageNet,ResNet-34,,table 3,,,,,,-3.030%,,-1.220%,,,,,84.99%,,,,,,,,,,
62,extreme-net-compress,ImageNet,VGG-16,,table 3,,,,,,0.820%,,0.940%,,,,,56.99%,,,,,,,,,,
375,extreme-net-compress,ImageNet,VGG-16,,table 3,,,,,,-0.280%,,-0.070%,,,,,77.86%,,,,,,,,,,
376,extreme-net-compress,ImageNet,VGG-16,,table 3,,,,,,-1.060%,,-0.270%,,,,,81.35%,,,,,,,,,,
377,extreme-net-compress,ImageNet,VGG-16,,table 3,,,,,,-3.490%,,-2.030%,,,,,85.80%,,,,,,,,,,
239,face-prune,CASIA-WebFace,Yi's Face Network,,,,,,,,,,,,,,,,,,,,,,,,,
147,google-interchannel,CIFAR-10,TF-Example-CIFAR10,,"""We use standard networks provided by TensorFlow. For MNIST, it has 3-layer convolutional layers and achieves 99.5% accuracy when fully trained.""",,,,,,,,,,,,,,,,,,,,,,,
148,google-interchannel,ImageNet,Inception-v3,,,,,,,,,,,,,,,,,,,,,,,,,
149,google-interchannel,ImageNet,VGG-16n,,,,,,,,,,,,,,,,,,,,,,,,,
146,google-interchannel,MNIST,TF-Example-MNIST,,"""We use standard networks provided by TensorFlow. For MNIST, it has 3-layer convolutional layers and achieves 99.5% accuracy when fully trained.""",,,,,,,,,,,,,,,,,,,,,,,
50,google-state-of-sparsity,ImageNet,ResNet-50,Magnitude-v2,"this is the net at end of sec 5.2, with 80% unstructured sparsity, which is apparently SotA acc/size tradeoff. Not gonna type in all their results CSVs..... Also note that they only report this one number, with no std or anything for this net. They call this ""magnitude pruning v2"" in figure 5, which is where I got the method name",,,,76.52%,,-0.170%,,,,80.00%,,,,,76.69%,,,,,,,,
51,google-state-of-sparsity,WMT 2014 English-German,Transformer,,,,,,,,,,,,,,,,,,,,,,,,,
183,group-sparse-dnns,Covertype,fc50-50-20-7,,,,,,,,,,,,,,,,,,,,,,,,,
186,group-sparse-dnns,Digits,fc40-20,,,,,,,,,,,,,,,,,,,,,,,,,
182,group-sparse-dnns,MNIST,fc400-300-100-10,,,,,,,,,,,,,,,,,,,,,,,,,
180,group-sparse-dnns,SSD,fc40-40-30-11,,,,,,,,,,,,,,,,,,,,,,,,,
262,han-prune-quant-huff,ImageNet,CaffeNet,,"table 4, only pruning; baseline + new accuracies from table1 (""compressed"" acc includes quantization also, so might be somewhat pessimistic for pruning-only)
-they give orig params in KB; I used 1KB = 1000 / 4 = 250 params to convert to nparams",,42.78%,19.70%,,,,,,,,11.00%,,,,,,,60.000,,,,42.78%,19.73%
263,han-prune-quant-huff,ImageNet,VGG-16,,"table 5, only pruning; baseline + new accuracies from table1 (""compressed"" acc includes quantization also, so might be somewhat pessimistic for pruning-only)
-they give orig params in KB; I used 1KB = 1000 / 4 = 250 params to convert to nparams",,31.17%,10.91%,,,,,,,,7.50%,,,,,,,138.000,,,,31.50%,10.91%
269,han-prune-quant-huff,MNIST,LeNet-5,,they give orig params in KB; I used 1KB = 1000 / 4 = 250 params to convert to nparams,,0.74%,,,,,,,,,,,,,,,,0.430,,,,0.80%,
264,han-prune-quant-huff,MNIST,LeNet-300-100,,they give orig params in KB; I used 1KB = 1000 / 4 = 250 params to convert to nparams,,1.58%,,,,,,,,,,,,,,,,0.268,,,,1.64%,
120,hard-concrete,CIFAR-10,WRN-28-10,,,,,,,,,,,,,,,,,,,,,,,,,
121,hard-concrete,CIFAR-100,WRN-28-10,,,,,,,,,,,,,,,,,,,,,,,,,
119,hard-concrete,MNIST,LeNet-5-Caffe+800,,"they say lenet5, but also list layer sizes as 20-50-800-500, so...wut?

__NOTE__",,,,,,,,,,,,,,,,,,,,,,,
118,hard-concrete,MNIST,LeNet-300-100,,,,,,,,,,,,,,,,,,,,,,,,,
311,he-reshaping,Switchboard English,fc2048x7,,"maybe RNN? just says ""The baseline DNN has 7 hidden layers of 2048 nodes per layer.""",,,,,,,,,,,,,,,,,,,,,,,
310,he-reshaping,TIMIT,L5-1024,,,,,,,,,,,,,,,,,,,,,,,,,
291,huang-prune-filters,CamVid,SegNet,,,,,,,,,,,,,,,,,,,,,,,,,
289,huang-prune-filters,CIFAR-10,ResNet-18,,"except ""The first max pooling layer in the official ResNet-18 network is removed to deal with the small resolution.""; using pytorch resnet; they say this has ""11M"" params by default",,,,,,-0.300%,,,,,,,,,,,,,,,1.320,,
305,huang-prune-filters,CIFAR-10,ResNet-18,,,,,,,,-1.700%,,,,,,,,,,,,,,,2.830,,
304,huang-prune-filters,CIFAR-10,ResNet-18,,also gives acc drops from pruning-filters at same (same-ish?) pruning amounts,,,,,,-1.000%,,,,,,,,,,,,,,,1.550,,
306,huang-prune-filters,CIFAR-10,ResNet-18,,,,,,,,-2.900%,,,,,,,,,,,,,,,4.170,,
288,huang-prune-filters,CIFAR-10,VGG-16,,"pytorch vgg16; but they say it has ""15M"" params in their table (but 3.1e8 flops)",,,,,,,,,,,,,,,,,,,,,,,
300,huang-prune-filters,CIFAR-10,VGG-16,,1 / (1 - .45); also compares to pruning-filters and gets less acc drop at (ostensibly?) same amount of pruning,,,,,,-0.600%,,,,,,,,,,,,,,,1.810,,
301,huang-prune-filters,CIFAR-10,VGG-16,,,,,,,,-1.100%,,,,,,,,,,,,,,,2.230,,
302,huang-prune-filters,CIFAR-10,VGG-16,,,,,,,,-1.900%,,,,,,,,,,,,,,,2.820,,
303,huang-prune-filters,CIFAR-10,VGG-16,,,,,,,,-3.400%,,,,,,,,,,,,,,,5.150,,
290,huang-prune-filters,Pascal VOC 2007,FCN-32s,,,,,,,,,,,,,,,,,,,,,,,,,
279,jaderberg-low-rank-conv,Combined Char Recognition Dataset,conv48-64-128-37,,,,,,,,,,,,,,,,,,,,,,,,,
602,L0-arm-binary,CIFAR-10,WRN-28-10,,,,,,,,,,,,,,,,,,,,,,,,,
603,L0-arm-binary,CIFAR-100,WRN-28-10,,,,,,,,,,,,,,,,,,,,,,,,,
600,L0-arm-binary,MNIST,fc300-100,,,,,,,,,,,,,,,,,,,,,,,,,
601,L0-arm-binary,MNIST,LeNet-5-Caffe,,,,,,,,,,,,,,,,,,,,,,,,,
172,learning-both,ImageNet,CaffeNet,,"table 4; slightly ambiguous whether this is AlexNet or CaffeNet. Also note that the acc numbers are not given; they just say ""AlexNet can be pruned to 1/9 of its original size without impacting accuracy""",,,,57.23%,,0.000%,80.33%,0.000%,,89.00%,,,70.00%,,57.22%,,80.27%,61.000,1.500,,,,
402,learning-both,ImageNet,CaffeNet,,"from dots in fig5, so approx (using best settings)",,,,,,,,0.001%,,87.00%,,,,,57.22%,,80.27%,61.000,,,,,
404,learning-both,ImageNet,CaffeNet,,"from dots in fig5, so approx (using best settings)",,,,,,,,-0.050%,,90.00%,,,,,57.22%,,80.27%,61.000,,,,,
405,learning-both,ImageNet,CaffeNet,,"from dots in fig5, so approx (using best settings)",,,,,,,,-0.400%,,92.00%,,,,,57.22%,,80.27%,61.000,,,,,
406,learning-both,ImageNet,CaffeNet,,"from dots in fig5, so approx (using best settings)",,,,,,,,-0.600%,,93.00%,,,,,57.22%,,80.27%,61.000,,,,,
407,learning-both,ImageNet,CaffeNet,,"from dots in fig5, so approx (using best settings)",,,,,,,,-4.200%,,96.00%,,,,,57.22%,,80.27%,61.000,,,,,
408,learning-both,ImageNet,CaffeNet,,"from dots in fig5, so approx (using best settings)",,,,,,,,-1.050%,,94.00%,,,,,57.22%,,80.27%,61.000,,,,,
409,learning-both,ImageNet,CaffeNet,,"from dots in fig5, so approx (using best settings)",,,,,,,,-2.000%,,95.00%,,,,,57.22%,,80.27%,61.000,,,,,
173,learning-both,ImageNet,VGG-16,,table 5; they don't say the accuracy; pretty sure their weights/flops nums in the bottom row are for the original network,,,,,,,,,,92.50%,,,89.00%,,,,,138.000,30.900,,,,
171,learning-both,MNIST,LeNet-5,,"p4: only footnote saying they used alexnet from model zoo, so presumably this is original lenet-5",,,,,,,,,,,,,,,,,,,,,,,
170,learning-both,MNIST,LeNet-300-100,,,,,,,,,,,,,,,,,,,,,,,,,
286,learning-compression,CIFAR-10,ResNet-32,,"they cite ""Deep residual learning for image recognition.""",,7.32%,,,,,,,0.0693,,,,,,92.28%,,,0.460,,,,,
513,learning-compression,CIFAR-10,ResNet-32,,"they cite ""Deep residual learning for image recognition.""",,7.88%,,,,,,,0.0462,,,,,,92.28%,,,0.460,,,,,
514,learning-compression,CIFAR-10,ResNet-32,,"they cite ""Deep residual learning for image recognition.""",,9.26%,,,,,,,0.0231,,,,,,92.28%,,,0.460,,,,,
515,learning-compression,CIFAR-10,ResNet-32,,"they cite ""Deep residual learning for image recognition.""",,10.74%,,,,,,,0.0139,,,,,,92.28%,,,0.460,,,,,
512,learning-compression,CIFAR-10,ResNet-56,,"they cite ""Deep residual learning for image recognition.""",,6.92%,,,,,,,0.1273,,,,,,93.14%,,,0.850,,,,,
516,learning-compression,CIFAR-10,ResNet-56,,"they cite ""Deep residual learning for image recognition.""",,6.67%,,,,,,,0.0849,,,,,,93.14%,,,0.850,,,,,
517,learning-compression,CIFAR-10,ResNet-56,,"they cite ""Deep residual learning for image recognition.""",,7.51%,,,,,,,0.0424,,,,,,93.14%,,,0.850,,,,,
518,learning-compression,CIFAR-10,ResNet-56,,"they cite ""Deep residual learning for image recognition.""",,8.21%,,,,,,,0.0255,,,,,,93.14%,,,0.850,,,,,
287,learning-compression,CIFAR-10,ResNet-110,,"they cite ""Deep residual learning for image recognition.""",,6.30%,,,,,,,0.2580,,,,,,93.30%,,,1.700,,,,,
519,learning-compression,CIFAR-10,ResNet-110,,"they cite ""Deep residual learning for image recognition.""",,6.50%,,,,,,,0.1720,,,,,,93.30%,,,1.700,,,,,
520,learning-compression,CIFAR-10,ResNet-110,,"they cite ""Deep residual learning for image recognition.""",,7.61%,,,,,,,0.0516,,,,,,93.30%,,,1.700,,,,,
521,learning-compression,CIFAR-10,ResNet-110,,"they cite ""Deep residual learning for image recognition.""",,6.93%,,,,,,,0.0860,,,,,,93.30%,,,1.700,,,,,
285,learning-compression,MNIST,LeNet-5,,,,,,,,,,,,,,,,,,,,,,,,,
284,learning-compression,MNIST,LeNet-300-100,,,,,,,,,,,,,,,,,,,,,,,,,
253,learning-num-neurons,ICDAR,Dec3,,made up convnet,,,,,,,,,,,,,,,,,,,,,,,
251,learning-num-neurons,ImageNet,BNetC,,VGG-16-like,,,,,,,,,,,,,,,,,,,,,,,
252,learning-num-neurons,ImageNet,Dec8,,made up convnet,,,,,,,,,,,,,,,,,,,,,,,
277,lempitsky-cp-decomp,???,CharNet,,,,,,,,,,,,,,,,,,,,,,,,,
278,lempitsky-cp-decomp,ImageNet,CaffeNet,,"they got way better results with Jaderberg 2014b's method than original authors did: ""Although (Jaderberg et al., 2014b) mentions that application of their approach to the second layer of the OverFeat architecture yields a 2× speed-up, our colleagues at Yandex have discovered that a far greater speed-up with (Jaderberg et al., 2014b) can be reached, at least for AlexNet. In particular, our experiments with (Jaderberg et al., 2014b) on AlexNet have showed that the second convolutional layer of AlexNet can be accelerated by the factor of 6.6× at the cost of ≈ 1% accuracy loss via Scheme 2 and data optimization as described in (Jaderberg et al., 2014b)""; reason I think they're using caffenet is that ""As a baseline we use a pre-trained model shipped with Caffe."" in section ""4.2 AlexNet""; no numbers here cuz ""report the speed-up compared to the CPU timings of the original model"", so no flop comparison and no size comparison unless I do math to convert between pruning just ""the second convolutional layer"" and overall size reduction.
-No numbers because only report speedup for a given layer (seemingly; a lot of ambiguity)
-also note that jaderberg (below) just plain doesn't use the same CNN, so not sure what to take away from this comparison

__NOTE__",,,,,,,,-0.500%,,,,,,,,,,,,,,,
465,lempitsky-fast-convnets,ImageNet,CaffeNet,Fixed,"Table 1, Training with fixed sparsity patterns, accelerating just 2nd conv layer",,,,,,-0.160%,,,,80.00%,,,,,,,,,,,5.000,,
